"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Chris Moore","TEN","24.1","260.4","1.0","1.2","3.2","0.0","0.0","44.7"
"","high","38.0","466.0","2.0","3.0","9.2","0.0","0.0","62.6"
"","low","15.5","163.2","0.0","0.0","0.0","0.0","0.0","35.4"
"Jauan Jennings","SF","19.9","264.5","1.1","0.0","0.2","0.0","0.0","43.0"
"","high","27.2","366.4","2.2","0.0","0.7","0.0","0.0","86.8"
"","low","12.5","143.8","0.2","0.0","0.0","0.0","0.0","29.6"
"Tank Dell","HOU","16.4","290.8","0.7","0.8","4.9","0.1","0.3","41.4"
"","high","16.4","388.5","1.0","1.6","9.8","0.1","0.3","67.6"
"","low","16.4","193.0","0.3","0.0","0.0","0.0","0.3","33.0"
"Olamide Zaccheaus","PHI","19.5","247.2","1.2","0.8","2.7","0.0","0.4","41.0"
"","high","34.0","465.0","3.0","2.0","6.0","0.0","0.0","68.2"
"","low","3.2","37.4","0.0","0.0","0.0","0.0","1.0","14.5"
"Marquez Callaway","DEN","20.9","224.6","1.3","0.0","0.3","0.0","0.0","41.0"
"","high","34.8","415.2","3.1","0.0","1.0","0.0","0.0","105.2"
"","low","6.9","87.8","0.4","0.0","0.0","0.0","0.0","22.7"
"Noah Brown","HOU","21.2","239.6","0.9","0.1","0.5","0.0","0.1","40.0"
"","high","28.6","324.0","1.8","0.2","0.9","0.0","0.0","53.4"
